課程類別,必選修,領域類別,年級,學期,課程,學分,時數
專業課程,選修,應修學分數18學分,一年級,第二學期,電能控制與管理,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,電腦視覺,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,電力電子應用專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,再生能源,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,模糊理論與應用,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,電力系統運轉,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,非線性控制,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,電力系統經濟調度,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,最佳化估算,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,電力系統可靠度,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,資訊檢索,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,電力系統品質,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,無線通訊及網路,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,現代電力系統分析,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,高等計算機網路,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,保護協調專論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,高等計算機模擬,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,風能發電專案研究,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,高等數位信號處理,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,智慧財產權概論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,多媒體通訊系統,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,計算機模擬,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,分散式系統,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,光電工程專論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,多核心運算,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,固態電源轉換,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,馬達驅動器專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,再生能源電力轉換介面,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,電力品質改善技術專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,圖形識別,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,強健控制,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,自動控制專論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,文件探勘與自然語言處理,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,高速網路,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,接取網路專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,進階資訊系統設計,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,數位電源分析暨實習,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,綠能科技專論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,綠能與儲能應用專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,高等社群計算,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,資料科學與大數據應用,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,類神經網路,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,微電網,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,社群網路,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,切換式電能轉換分析,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,進階人工智慧,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,專利專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,高等機器人學,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,類神經網路應用,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,視覺伺服,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,進階機器學習,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,切換式電能模型與模擬,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,模糊系統理論與應用,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,高等控制系統,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,伺服電機控制,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,系統建模與鑑別,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,數位控制系統,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,電玩物理學,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,隨機程序系統與其應用,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,機器學習與機器人應用,3,3
